M (Hyperplanes),D (Bags),T (Filtered),FP (Hashed),FN (Hashed),FP (Theoretical),FN (Theoretical)
96,11,15,0.005333333333333334,0.0064666666666666674,5.409893931447927e-05,0.8547752096650453
96,11,16,0.005933333333333336,0.003933333333333335,6.517170167766186e-05,0.8404954814819123
96,11,17,0.008666666666666668,0.003133333333333334,9.664759447198317e-05,0.8239705524467579
96,11,18,0.010933333333333338,0.0028666666666666675,0.00010575155666437464,0.8057019774085067
96,11,19,0.014000000000000007,0.0012666666666666668,0.00010005877392126347,0.788865508175699
96,11,20,0.01753333333333334,0.0010000000000000002,0.0001407983712872152,0.7690313727432972
96,11,21,0.02293333333333334,0.0006666666666666666,0.00018671501913638232,0.745792634240537
96,11,22,0.02726666666666668,0.0002666666666666667,0.00018455297941239555,0.7299533595905674
96,11,23,0.032333333333333346,0.0006000000000000001,0.00024908655066564956,0.70553668706099
96,11,24,0.041466666666666686,0.0004,0.00026576395982411263,0.6816430398869543
96,11,25,0.0508666666666667,0.00013333333333333334,0.00038133528043701796,0.6579145559595039
96,11,26,0.06593333333333334,6.666666666666667e-05,0.0004043462458357018,0.6327331751799511
96,11,27,0.07126666666666669,0.00013333333333333334,0.0005213088692400821,0.6033882061278013
96,11,28,0.08520000000000001,0.00013333333333333334,0.0005902833493323541,0.5785603186516783
96,11,29,0.10473333333333334,6.666666666666667e-05,0.0007378047473480197,0.5490075328369171
96,11,30,0.12006666666666667,0.00013333333333333334,0.0008032590267392574,0.5276732054038669
96,11,31,0.1422,0.0,0.0009501652161834494,0.49443859175138943
96,11,32,0.16446666666666668,0.0,0.0011350995421402935,0.46771264345767627
96,11,33,0.1821333333333333,6.666666666666667e-05,0.0013711409878109312,0.43935234466321776
96,11,34,0.22333333333333333,0.0,0.0016311679278024932,0.4111009213006053
96,11,35,0.24353333333333335,0.0,0.001953208301949293,0.381698047031259
96,11,36,0.27619999999999995,0.0,0.0024000049023076204,0.35267402676917325
96,11,37,0.3096666666666667,0.0,0.0027439664069971188,0.32515915653688676
96,11,38,0.3424666666666667,0.0,0.003166250471285844,0.30176336749292987
96,11,39,0.38653333333333345,0.0,0.0038866498479168655,0.27376785336152376
96,11,40,0.42546666666666677,0.0,0.004436170853521098,0.2555449963720797
96,11,41,0.46466666666666673,0.0,0.0054117946625712576,0.22907635974831506
96,11,42,0.5071333333333333,0.0,0.006655185031375065,0.20329598129984416
96,11,43,0.5625333333333334,0.0,0.007248266131262111,0.1865750186557501
96,11,44,0.5901333333333334,0.0,0.008608807552573625,0.16400956335105668
96,11,45,0.6379333333333334,0.0,0.010364158640892197,0.14451260027065474
96,11,46,0.6661333333333331,0.0,0.012344490398471322,0.1271489743551246
96,11,47,0.7110000000000002,0.0,0.013973909875297657,0.11239589429697784
96,13,0,0.0,0.8642666666666668,3.809358155690514e-06,0.9708233325195336
96,13,1,6.666666666666667e-05,0.7798666666666668,4.104715733743073e-06,0.9668324368168266
96,13,2,0.0,0.6616666666666667,5.2128392262223115e-06,0.9626729385915325
96,13,3,0.0002666666666666667,0.5533999999999999,9.769437500941305e-06,0.9577179086585527
96,13,4,0.0,0.43253333333333344,7.84456611144562e-06,0.952292267261258
96,13,5,0.0002666666666666667,0.33140000000000003,9.86052456049935e-06,0.9453908010068913
96,13,6,0.00046666666666666666,0.24186666666666662,1.4195811359714261e-05,0.9390738552715959
96,13,7,0.0005333333333333334,0.1764,1.7766375848536144e-05,0.9315888958333114
96,13,8,0.0004,0.12533333333333335,2.1056107968432873e-05,0.9229061280696454
96,13,9,0.0007333333333333333,0.08220000000000001,1.7972991654966787e-05,0.9148188936796583
96,13,10,0.0007333333333333333,0.056666666666666685,2.8636109273795848e-05,0.9021616911038329
96,13,11,0.001666666666666667,0.04006666666666668,3.701190272254777e-05,0.8919602650140452
96,13,12,0.0018666666666666669,0.025800000000000007,3.963312599940016e-05,0.8798144843262213
96,13,13,0.002666666666666667,0.018266666666666667,5.221716455653027e-05,0.867765834305992
96,13,14,0.005066666666666667,0.013000000000000005,5.725504773210004e-05,0.8541569519009943
96,13,15,0.007000000000000003,0.008933333333333333,8.484394399228346e-05,0.8408546928190318
96,13,16,0.007066666666666669,0.0058666666666666685,9.418719518340024e-05,0.8217935211057305
96,13,17,0.01126666666666667,0.0044666666666666665,0.00013389561336099614,0.8058574251534942
96,13,18,0.016066666666666674,0.0025333333333333336,0.00011225571365986824,0.7874025870681596
96,13,19,0.016866666666666672,0.0014000000000000004,0.00014622922117051292,0.7687933094214277
96,13,20,0.022666666666666672,0.0012666666666666668,0.0001714790692135277,0.7481918597904633
96,13,21,0.03066666666666668,0.00046666666666666666,0.00025203628935947044,0.7253218750353538
96,13,22,0.034933333333333344,0.0006000000000000001,0.00025178093617348824,0.7024101212464725
96,13,23,0.04686666666666669,0.00046666666666666666,0.0003404339423669702,0.6787756144585221
96,13,24,0.05400000000000001,0.0004,0.0003613226261176964,0.6529372001683901
