Angle (Degrees),Cosine Similarity,False Negative Rate,False Positive Rate
35.099999999999895,0.81815,0.0,0.79082
35.14999999999989,0.817648,0.0,0.794771
35.199999999999896,0.817145,0.0,0.798635
35.2499999999999,0.816642,0.0,0.802502
35.2999999999999,0.816138,0.0,0.80648
35.349999999999895,0.815633,0.0,0.810526
35.39999999999989,0.815128,0.0,0.81418
35.449999999999896,0.814622,0.0,0.818102
35.49999999999989,0.814116,0.0,0.821972
35.5499999999999,0.813608,0.0,0.825802
35.599999999999895,0.813101,0.0,0.829579
35.64999999999989,0.812592,0.0,0.833115
35.699999999999896,0.812084,0.0,0.836786
35.74999999999989,0.811574,0.0,0.840334
35.7999999999999,0.811064,0.0,0.843811
35.849999999999895,0.810553,0.0,0.84722
35.89999999999989,0.810042,0.0,0.850387
35.94999999999989,0.80953,0.0,0.853656
35.99999999999989,0.809017,0.0,0.856929
36.0499999999999,0.808504,0.0,0.860136
36.099999999999895,0.80799,0.0,0.863409
